rank,source,source_idx,n_effective_envs_in_structure,pass,new_gain,covered,uncovered,coverage_pct
346,large_file,9227,67,rare,10,6820,5683,54.546908741901944
347,large_file,9565,107,rare,10,6830,5673,54.626889546508835
348,large_file,10305,84,rare,10,6840,5663,54.70687035111573
349,large_file,11598,122,rare,10,6850,5653,54.78685115572263
350,large_file,11637,68,rare,10,6860,5643,54.86683196032952
351,large_file,12380,82,rare,10,6870,5633,54.94681276493642
352,large_file,12607,87,rare,10,6880,5623,55.02679356954331
353,large_file,12869,96,rare,10,6890,5613,55.106774374150206
354,large_file,13242,82,rare,10,6900,5603,55.186755178757096
355,large_file,13654,85,rare,10,6910,5593,55.26673598336399
356,large_file,14461,81,rare,10,6920,5583,55.346716787970884
357,large_file,14659,78,rare,10,6930,5573,55.42669759257778
358,large_file,14913,97,rare,10,6940,5563,55.50667839718468
359,large_file,14925,86,rare,10,6950,5553,55.58665920179157
360,large_file,15034,121,rare,10,6960,5543,55.66664000639847
361,large_file,15372,84,rare,10,6970,5533,55.74662081100536
362,large_file,15660,72,rare,10,6980,5523,55.826601615612255
363,large_file,16209,76,rare,10,6990,5513,55.906582420219145
364,large_file,16737,75,rare,10,7000,5503,55.98656322482604
365,large_file,16903,92,rare,10,7010,5493,56.06654402943293
366,large_file,16935,76,rare,10,7020,5483,56.14652483403983
367,large_file,19538,84,rare,10,7030,5473,56.22650563864673
368,large_file,19905,106,rare,10,7040,5463,56.30648644325362
369,large_file,19968,80,rare,10,7050,5453,56.386467247860516
370,large_file,1944,77,rare,9,7059,5444,56.45844997200672
371,large_file,2039,84,rare,9,7068,5435,56.53043269615292
372,large_file,2091,105,rare,9,7077,5426,56.60241542029913
373,large_file,2432,80,rare,9,7086,5417,56.674398144445334
374,large_file,2581,83,rare,9,7095,5408,56.74638086859154
375,large_file,2971,88,rare,9,7104,5399,56.81836359273774
376,large_file,3657,82,rare,9,7113,5390,56.89034631688395
377,large_file,4624,103,rare,9,7122,5381,56.96232904103015
378,large_file,4727,88,rare,9,7131,5372,57.034311765176355
379,large_file,5143,92,rare,9,7140,5363,57.106294489322565
380,large_file,6150,88,rare,9,7149,5354,57.17827721346877
381,large_file,6457,119,rare,9,7158,5345,57.25025993761497
382,large_file,6584,76,rare,9,7167,5336,57.32224266176118
383,large_file,6681,93,rare,9,7176,5327,57.39422538590738
384,large_file,6788,76,rare,9,7185,5318,57.466208110053586
385,large_file,7047,90,rare,9,7194,5309,57.53819083419979
386,large_file,7245,96,rare,9,7203,5300,57.610173558346
387,large_file,7268,120,rare,9,7212,5291,57.6821562824922
388,large_file,7291,122,rare,9,7221,5282,57.754139006638404
389,large_file,7800,82,rare,9,7230,5273,57.826121730784614
390,large_file,8493,110,rare,9,7239,5264,57.89810445493082
391,large_file,9268,88,rare,9,7248,5255,57.97008717907702
392,large_file,9369,91,rare,9,7257,5246,58.04206990322323
393,large_file,9629,79,rare,9,7266,5237,58.11405262736943
394,large_file,9691,89,rare,9,7275,5228,58.186035351515635
395,large_file,10741,91,rare,9,7284,5219,58.258018075661845
396,large_file,10791,107,rare,9,7293,5210,58.33000079980805
397,large_file,11227,85,rare,9,7302,5201,58.40198352395425
398,large_file,11527,123,rare,9,7311,5192,58.47396624810045
399,large_file,11694,123,rare,9,7320,5183,58.54594897224666
400,large_file,11779,104,rare,9,7329,5174,58.617931696392866
401,large_file,12199,77,rare,9,7338,5165,58.68991442053907
402,large_file,12430,72,rare,9,7347,5156,58.76189714468528
403,large_file,12764,103,rare,9,7356,5147,58.83387986883148
404,large_file,13090,104,rare,9,7365,5138,58.905862592977684
405,large_file,14087,104,rare,9,7374,5129,58.977845317123894
406,large_file,14175,76,rare,9,7383,5120,59.049828041270096
407,large_file,14434,108,rare,9,7392,5111,59.1218107654163
408,large_file,14574,108,rare,9,7401,5102,59.1937934895625
409,large_file,14637,83,rare,9,7410,5093,59.26577621370871
410,large_file,15271,92,rare,9,7419,5084,59.337758937854915
411,large_file,15703,88,rare,9,7428,5075,59.40974166200112
412,large_file,16080,95,rare,9,7437,5066,59.48172438614733
413,large_file,16335,94,rare,9,7446,5057,59.55370711029353
414,large_file,16454,108,rare,9,7455,5048,59.62568983443973
415,large_file,16745,120,rare,9,7464,5039,59.69767255858594
416,large_file,16930,91,rare,9,7473,5030,59.769655282732145
417,large_file,17165,86,rare,9,7482,5021,59.84163800687835
418,large_file,17688,128,rare,9,7491,5012,59.91362073102455
419,large_file,17764,69,rare,9,7500,5003,59.98560345517076
420,large_file,18540,70,rare,9,7509,4994,60.057586179316964
421,large_file,19349,91,rare,9,7518,4985,60.129568903463166
422,large_file,19406,89,rare,9,7527,4976,60.201551627609376
423,large_file,19565,84,rare,9,7536,4967,60.27353435175558
424,large_file,19858,85,rare,9,7545,4958,60.34551707590178
425,large_file,19946,101,rare,9,7554,4949,60.41749980004799
426,large_file,1087,109,rare,8,7562,4941,60.48148444373351
427,large_file,1094,69,rare,8,7570,4933,60.54546908741902
428,large_file,1449,80,rare,8,7578,4925,60.60945373110454
429,large_file,2612,76,rare,8,7586,4917,60.67343837479005
430,large_file,2794,86,rare,8,7594,4909,60.73742301847557
431,large_file,2807,87,rare,8,7602,4901,60.80140766216108
432,large_file,2975,104,rare,8,7610,4893,60.8653923058466
433,large_file,3162,82,rare,8,7618,4885,60.92937694953211
434,large_file,4015,85,rare,8,7626,4877,60.99336159321763
435,large_file,4217,90,rare,8,7634,4869,61.05734623690314
436,large_file,4608,90,rare,8,7642,4861,61.12133088058866
437,large_file,4665,106,rare,8,7650,4853,61.18531552427417
438,large_file,4881,88,rare,8,7658,4845,61.24930016795969
439,large_file,5071,104,rare,8,7666,4837,61.313284811645204
440,large_file,5309,106,rare,8,7674,4829,61.37726945533072
441,large_file,5398,126,rare,8,7682,4821,61.441254099016234
442,large_file,5744,67,rare,8,7690,4813,61.50523874270175
443,large_file,6560,118,rare,8,7698,4805,61.569223386387264
444,large_file,7340,108,rare,8,7706,4797,61.63320803007278
445,large_file,7559,105,rare,8,7714,4789,61.697192673758295
446,large_file,7602,78,rare,8,7722,4781,61.76117731744382
447,large_file,8206,101,rare,8,7730,4773,61.82516196112933
448,large_file,8778,90,rare,8,7738,4765,61.88914660481485
449,large_file,9003,114,rare,8,7746,4757,61.95313124850036
450,large_file,9164,82,rare,8,7754,4749,62.01711589218588
451,large_file,9238,72,rare,8,7762,4741,62.08110053587139
452,large_file,9737,104,rare,8,7770,4733,62.14508517955691
453,large_file,10401,90,rare,8,7778,4725,62.20906982324242
454,large_file,10603,65,rare,8,7786,4717,62.27305446692794
455,large_file,10733,107,rare,8,7794,4709,62.33703911061345
456,large_file,10837,73,rare,8,7802,4701,62.40102375429897
